BLOCKID10,POP10
170318253023034,24
170318255011022,0
170318253023026,11
170318253023045,12
170318253023018,5
170318253021005,28
170318240061061,0
170318254002030,173
170318254003025,0
170318240041122,40
170318255042033,157
170318293011019,112
170318240062039,4
170318297003072,15
170318285042004,38
170318287021006,54
170318287023024,132
170318282021013,24
170318283002065,70
170318283002064,0
170318284023007,64
170318286021002,101
170318286021010,77
170318284011008,39
170318255031016,0
170318284022006,28
170318256003013,57
170318255031035,21
170318255031019,0
170318278053001,77
170318282011053,0
170318240033001,19
170318282022002,75
170318282022003,47
170318282022004,83
170318282024008,103
170318285055021,3
170318285055003,0
170318275001000,0
170318275001062,7
170318278051002,0
170318275002089,0
170318276001012,26
170318300011026,0
170318293022010,58
170318300052045,30
170318300043072,0
170318300043020,424
170318300043094,86
170318300043015,0
170318300043013,16
170318295003018,41
170318296003016,31
170318295001000,25
170318288022012,10
170318288014011,50
170318290001019,22
170318290001010,1
170318287022057,0
170318290002000,0
170318288011015,85
170318286014019,41
170318286012008,65
170318255033023,24
170318298001005,0
170318286011016,0
170318256003011,45
170318256002006,30
170318256002021,41
170318256002005,32
170318246025008,39
170318246025010,19
170318246025012,8
170318249002019,29
170318245051001,89
170318245071007,197
170318245072015,4
170318253033001,35
170318241221007,45
170318241211031,6
170318241221002,29
170318277002008,33
170318277002012,20
170318276003006,0
170318274003018,0
170318248003087,12
170318248004035,90
170318248003074,0
170318248004022,0
170318243002037,0
170318246023003,515
170318246014000,14
170318245061010,43
170318292004009,27
170318292004006,131
170318291002069,24
170318293023010,140
170318300011039,31
170318300033000,0
170318300052038,74
170318300052032,31
170318300052016,82
170318300052027,61
170318300051023,36
170318300051006,67
170318295003010,49
170318296003020,24
170318255042018,621
170318255052008,83
170318255052000,4
170318255013008,183
170318253023003,0
170318253023007,73
170318245072081,4
170318253021004,0
170318254001012,51
170318254003007,0
170318255042020,5
170318255042004,1
170318241173009,84
170318241174020,37
170318255032007,56
170318285042006,0
170318285044004,76
170318285044014,95
170318285064029,0
170318285064019,1
170318076001019,0
170318285066016,0
170318285055085,9
170318285041059,0
170318284023012,54
170318287023036,43
170318285055039,23
170318241074002,56
170318245064015,35
170318245064012,32
170318241083028,0
170318241083039,98
170318241072000,108
170318241083010,132
170318241202000,0
170318241202024,0
170318241201034,24
170318300041001,46
170318293021013,0
170318293021015,65
170318300051045,79
170318287022042,0
170318300043000,12
170318299024017,0
170318300043052,80
170318300043049,0
170318296003029,25
170318296002032,30
170318255054016,0
170318297002023,62
170318297003107,0
170318288014000,58
170318287014038,4
170318287022023,22
170318287013030,0
170318286012006,91
170318286014011,57
170318283002036,21
170318255031017,0
170318284021017,42
170318247023009,110
170318246024002,66
170318274003017,18
170318248002021,0
170318245072013,0
170318248002019,103
170318248001064,33
170318248003030,48
170318247013007,29
170318246011025,1
170318246023007,22
170318246013019,0
170318245033041,23
170318245033036,0
170318245033053,133
170318253023039,0
170318295002016,0
170318295002018,45
170318295002040,32
170318292003035,0
170318291001055,25
170318293022017,27
170318300052025,42
170318299014087,64
170318300031011,64
170318299024047,0
170318299024037,34
170318299024041,20
170318298001001,53
170318255033016,46
170318255035013,0
170318286011013,8
170318255053010,80
170318255053002,51
170318255053000,59
170318255013016,0
170318255013006,78
170318256004028,21
170318255011005,0
170318255013030,32
170318252002014,156
170318253023019,105
170318253023021,60
170318246021005,81
170318245053027,99
170318245052001,114
170318245052003,141
170318245063053,20
170318245071006,10
170318245072019,74
170318241233013,57
170318241211024,18
170318240033018,21
170318241222034,95
170318241222035,45
170318278042004,114
170318279011014,11
170318278041015,27
170318282011004,0
170318285055001,2
170318272004011,0
170318276001007,32
170318275002071,1
170318274002058,0
