lat,lon,doc,id
41.29,-87.4447,2,1000
41.2912,-87.4211,1,1001
41.2913,-87.4122,2,1002
41.2917,-87.419,2,1003
41.2973,-87.4213,1,1004
41.3252,-87.7903,1,1005
41.3417,-87.6217,1,1006
41.3432,-87.6214,1,1007
41.3442,-87.6214,1,1008
41.36409,-87.42156,1,1009
41.3643,-87.4212,1,1010
41.3687,-87.3755,1,1011
41.3771,-87.4174,1,1012
41.38618,-87.31932,3,1013
41.3864,-87.3209,6,1014
41.38665,-87.32023,1,1015
41.3881,-87.4706,1,1016
41.391,-87.3775,2,1017
41.3913,-87.3691,5,1018
41.3945,-87.3671,4,1019
41.3949,-87.3664,8,1020
41.39494,-87.36642,1,1021
41.3955,-87.3672,36,1022
41.39629,-87.36444,1,1023
41.39645,-87.36444,1,1024
41.3991,-87.3689,1,1025
41.4105,-87.3365,6,1026
41.4112,-87.3365,2,1027
41.41163,-87.3354,2,1028
41.4117,-87.336,1,1029
41.4118,-87.3333,1,1030
41.4125,-87.3446,1,1031
41.4128,-87.335,1,1032
41.41318,-87.32904,1,1033
41.4151,-87.3659,1,1034
41.4153,-87.3659,2,1035
41.41609,-87.36581,2,1036
41.417,-87.3351,4,1037
41.4187,-87.3658,1,1038
41.41992,-87.34885,1,1039
41.42,-87.7292,1,1040
41.4213,-87.3639,2,1041
41.4214,-87.4406,2,1042
41.4217,-87.4488,2,1043
41.422,-87.3325,3,1044
41.4238,-87.3341,2,1045
41.4239,-87.9874,1,1046
41.4264,-87.7483,1,1047
41.4275,-87.7491,1,1048
41.4299,-87.3618,1,1049
41.43077,-87.99489,1,1050
41.433,-87.4701,2,1051
41.4335,-87.4713,1,1052
41.4356,-87.5258,10,1053
41.4356,-87.5212,1,1054
41.4366,-87.4692,1,1055
41.4399,-87.4718,6,1056
41.4428,-87.4711,10,1057
41.4431,-87.6314,1,1058
41.4431,-87.47012,2,1059
41.444,-87.6324,1,1060
41.4444,-87.3639,4,1061
41.4445,-87.4716,1,1062
41.4459,-87.3639,1,1063
41.446,-87.3364,4,1064
41.4467,-87.631,1,1065
41.4474,-87.4706,1,1066
41.4476,-87.6605,1,1067
41.4476,-87.3364,2,1068
